"","frn","cnt_co","cnt_services","cnt_locations","area_sqkm2","states"
"487","0019156843",11,36343,25645,3208.554061,"{39}"
"488","0019834688",2,12526,12526,192.54872,"{13}"
"489","0020535944",1,1061,1054,77.524525,"{41}"
"490","0020611620",12,97145,54676,7174.167158,"{32,49}"
"491","0020854725",19,41805,39078,8821.201567,"{29}"
"492","0021134119",3,13508,11672,1289.101496,"{29}"
"493","0021644448",7,10181,7261,3047.56397,"{31}"
"494","0021854278",9,41369,41369,4688.221002,"{29}"
"495","0022280762",13,117359,97186,15620.61088,"{08}"
"496","0022537807",6,1531,1531,992.03617,"{06,32}"
"497","0023076508",15,51594,51594,5250.820079,"{18,26,39}"
"498","0023333917",3,839,839,73.141558,"{20,29}"
"499","0024535437",61,716938,644079,64563.389535,"{35,48}"
"500","0024842247",1,1780,1780,940.631045,"{27}"
"501","0024930141",35,347708,217743,19532.183604,"{20,29}"
"502","0025161969",1,4113,4113,135.114124,"{19}"
"503","0025260647",7,18930,18930,2366.676403,"{29}"
"504","0025448796",1,3224,3224,71.89531,"{38}"
"505","0025719360",3,8794,8794,167.751129,"{60}"
"506","0025803800",4,24713,24713,2201.447467,"{08}"
"507","0025826207",13,76776,76776,6007.074083,"{45}"
"508","0026157230",11,35845,35845,5339.684461,"{05,29}"
"509","0026172882",10,72119,72119,5768.44732,"{05,29,40}"
"510","0026511923",3,1354,1353,270.155799,"{36}"
"511","0026713099",8,15597,15597,3630.946497,"{05}"
"512","0026802363",2,25270,24614,2441.54665,"{30}"
"513","0027144112",4,11431,11431,579.328767,"{36}"
"514","0027148584",6,16819,16819,3632.44096,"{29}"
"515","0027155993",2,3599,3599,267.808218,"{17}"
"516","0027354836",12,34114,34114,3794.548184,"{21,47}"
"517","0027382639",11,32670,32670,5006.411305,"{47}"
"518","0027522408",7,91608,91608,3605.078363,"{40}"
"519","0027810050",9,30418,30418,5758.763842,"{40}"
"520","0027815794",13,49125,49125,6251.429304,"{05,40}"
"521","0027832633",5,13522,13522,4756.222788,"{42}"
"522","0027936434",2,2832,2832,46.028475,"{48}"
"523","0028396885",6,3319,3306,1692.694988,"{27}"
"524","0028437812",4,9473,9473,1738.082699,"{47}"
"525","0028574499",6,64686,32343,1071.635007,"{47}"
"526","0028817815",1,4228,4228,10.951063,"{41}"
"527","0029046562",2,5808,2655,1782.60578,"{30}"
"528","0029189131",9,62116,62116,3632.546572,"{21,47}"
"529","0029244829",22,34959,33518,5461.793723,"{51}"
"530","0029655289",5,50382,50382,2977.264516,"{22,28}"
"531","0029663226",7,8218,8218,2143.093422,"{05,40,48}"
"532","0029666989",7,47724,47724,3167.178995,"{28}"
"533","0029683711",2,4597,4597,370.371166,"{41}"
"534","0029721511",66,107838,107838,18409.886408,"{08,12,13,21,22,29}"
"535","0029731742",14,34757,34757,6821.619097,"{01,28}"
"536","0029733268",8,17939,17939,3459.615942,"{40}"
"537","0029746377",8,19600,19600,1740.732198,"{13}"
"538","0029766169",6,14191,14191,1817.946392,"{40}"
"539","0029779642",11,32403,32403,4970.260835,"{01}"
"540","0029822541",16,1150,1150,165.047953,"{12,48}"
"541","0029867777",8,22872,22872,4097.145722,"{28}"
"542","0030171383",3,9459,9459,470.35678,"{28}"
"543","0030198535",10,6307,6307,1452.609641,"{10,24}"
"544","0030264402",6,12253,12253,1376.714007,"{01}"
"545","0030279178",8,32160,31722,3781.704037,"{37}"
"546","0030360580",1,5256,2628,316.80463,"{19}"
"547","0030373153",10,16905,16905,3098.853759,"{22,28}"
"548","0030374227",5,12268,12268,2304.234608,"{05}"
