"geoid_bl","tot_loc","cnt_ms"
"500019604003039",1,"1"
"500019604003040",NULL,"0"
"500019604003041",NULL,"5"
"500019604003042",5,"6"
"500019604003043",NULL,"0"
"500019604003044",NULL,"0"
"500019604003045",16,"17"
"500019604003046",4,"5"
"500019604003047",NULL,"0"
"500019604003048",70,"90"
"500019604003049",4,"10"
"500019604003050",9,"18"
"500019604003051",NULL,"0"
"500019604003052",16,"13"
"500019604003053",12,"15"
"500019604003054",4,"10"
"500019604003055",33,"49"
"500019604003056",37,"56"
"500019604003057",19,"23"
"500019604003058",NULL,"0"
"500019604003059",1,"3"
"500019604003060",50,"133"
"500019604003061",NULL,"0"
"500019604003062",NULL,"0"
"500019604003063",2,"7"
"500019604003064",9,"23"
"500019604003065",4,"6"
"500019604003066",8,"21"
"500019604003067",2,"5"
"500019604003068",13,"28"
"500019604003069",2,"3"
"500019604003070",13,"17"
"500019604003071",NULL,"0"
"500019604003072",1,"3"
"500019604003073",9,"18"
"500019604003074",NULL,"0"
"500019604003075",NULL,"0"
"500019604003076",NULL,"0"
"500019604003077",5,"16"
"500019604003078",NULL,"0"
"500019604003079",2,"8"
"500019604003080",NULL,"0"
"500019604003081",NULL,"0"
"500019604003082",1,"4"
"500019604003083",3,"4"
"500019604003084",7,"15"
"500019604003085",29,"52"
"500019604003086",NULL,"0"
"500019604003087",2,"3"
"500019604003088",22,"39"
"500019604003089",2,"4"
"500019604003090",8,"12"
"500019604003091",NULL,"0"
"500019604003092",26,"43"
"500019604003093",5,"4"
"500019604003094",12,"21"
"500019604003095",NULL,"0"
"500019604003096",6,"7"
"500019604003097",10,"13"
"500019604003098",6,"11"
"500019604003099",NULL,"0"
"500019604003100",1,"2"
"500019604003101",1,"2"
"500019604003102",1,"2"
"500019604003103",1,"1"
"500019604003104",3,"12"
"500019604003105",5,"17"
"500019604003106",NULL,"0"
"500019604003107",NULL,"0"
"500019604003108",8,"16"
"500019604003109",8,"15"
"500019604003110",3,"4"
"500019604003111",11,"13"
"500019604003112",NULL,"0"
"500019604003113",10,"16"
"500019604003114",NULL,"0"
"500019604003115",NULL,"1"
"500019604003116",NULL,"0"
"500019604004000",NULL,"0"
"500019604004001",1,"1"
"500019604004002",2,"3"
"500019604004003",15,"22"
"500019604004004",5,"9"
"500019604004005",NULL,"0"
"500019604004006",1,"1"
"500019604004007",10,"21"
"500019604004008",1,"3"
"500019604004009",NULL,"0"
"500019604004010",1,"2"
"500019604004011",NULL,"0"
"500019604004012",3,"6"
"500019604004013",NULL,"0"
"500019604004014",2,"5"
"500019604004015",1,"3"
"500019604004016",3,"5"
"500019604004017",NULL,"1"
"500019604004018",1,"1"
"500019604004019",NULL,"0"
"500019604004020",19,"28"
"500019604004021",2,"3"
"500019604004022",1,"2"
"500019604004023",3,"5"
"500019604004024",3,"7"
"500019604004025",1,"0"
"500019604004026",5,"17"
"500019604004027",NULL,"0"
"500019604004028",NULL,"0"
"500019604004029",1,"2"
"500019604004030",6,"9"
"500019604004031",NULL,"1"
"500019604004032",4,"20"
"500019604004033",12,"20"
"500019604004034",72,"119"
"500019604004035",3,"5"
"500019604004036",10,"17"
"500019604004037",28,"34"
"500019604004038",5,"5"
"500019604004039",14,"21"
"500019604004040",11,"20"
"500019604004041",3,"3"
"500019604004042",5,"7"
"500019604004043",37,"47"
"500019604004044",NULL,"2"
"500019604004045",2,"4"
"500019604004046",1,"2"
"500019604004047",1,"4"
"500019604004048",19,"29"
"500019604004049",12,"15"
"500019604004050",7,"10"
"500019604004051",1,"2"
"500019604004052",12,"20"
"500019604004053",1,"2"
"500019604004054",1,"2"
"500019604004055",6,"11"
"500019604004056",2,"2"
"500019604004057",14,"13"
"500019604004058",NULL,"0"
"500019604004059",NULL,"0"
"500019604004060",1,"0"
"500019604004061",2,"7"
"500019604004062",NULL,"0"
"500019604004063",2,"10"
"500019604004064",NULL,"0"
"500019604004065",6,"5"
"500019604004066",NULL,"0"
"500019604004067",7,"9"
"500019605001000",39,"37"
"500019605001001",2,"4"
"500019605001002",37,"45"
"500019605001003",11,"17"
"500019605001004",15,"19"
"500019605001005",11,"13"
"500019605001006",27,"29"
"500019605001007",NULL,"0"
"500019605001008",NULL,"0"
"500019605001009",81,"100"
"500019605001010",5,"4"
"500019605001011",43,"56"
"500019605001012",NULL,"1"
"500019605001013",NULL,"0"
"500019605001014",NULL,"0"
"500019605001015",6,"7"
"500019605001016",15,"29"
"500019605001017",1,"1"
"500019605001018",NULL,"1"
"500019605001019",16,"25"
"500019605001020",NULL,"0"
"500019605001021",NULL,"0"
"500019605001022",49,"79"
"500019605001023",5,"6"
"500019605001024",2,"1"
"500019605001025",2,"2"
"500019605001026",6,"10"
"500019605001027",NULL,"0"
"500019605001028",11,"13"
"500019605001029",NULL,"0"
"500019605001030",44,"82"
"500019605001031",62,"69"
"500019605001032",4,"6"
"500019605001033",10,"7"
"500019605001034",29,"35"
"500019605001035",26,"37"
"500019605001036",19,"30"
"500019605001037",15,"17"
"500019605001038",31,"40"
"500019605001039",2,"2"
"500019605001040",30,"59"
"500019605001041",NULL,"0"
"500019605001042",2,"4"
"500019605001043",104,"139"
"500019605001044",8,"11"
"500019605001045",3,"5"
"500019605001046",17,"25"
"500019605001047",NULL,"0"
"500019605002000",46,"61"
"500019605002001",124,"168"
"500019605002002",30,"34"
"500019605002003",16,"25"
"500019605002004",8,"11"
"500019605002005",7,"6"
"500019605002006",22,"33"
"500019605002007",43,"55"
"500019605002008",27,"31"
"500019605002009",NULL,"2"
"500019605002010",21,"28"
"500019605002011",28,"41"
"500019605002012",16,"22"
"500019605002013",20,"32"
"500019605002014",1,"0"
"500019605002015",30,"48"
"500019605002016",7,"12"
"500019605003000",65,"84"
"500019605003001",7,"8"
"500019605003002",13,"17"
"500019605003003",10,"10"
"500019605003004",27,"33"
"500019605003005",NULL,"0"
"500019605003006",21,"27"
"500019605003007",4,"8"
"500019605003008",6,"9"
"500019605003009",NULL,"0"
"500019605003010",5,"12"
"500019605003011",6,"20"
"500019605003012",NULL,"0"
"500019605003013",3,"2"
"500019605003014",6,"6"
"500019605003015",3,"5"
"500019605003016",7,"8"
"500019605003017",8,"10"
"500019605003018",54,"79"
"500019605003019",13,"18"
"500019605003020",6,"9"
"500019605003021",NULL,"0"
"500019605003022",6,"10"
"500019605003023",13,"17"
"500019605003024",7,"9"
"500019605003025",13,"30"
"500019605003026",7,"12"
"500019606001000",72,"73"
"500019606001001",NULL,"0"
"500019606001002",7,"8"
"500019606001003",55,"79"
"500019606001004",22,"30"
"500019606001005",7,"9"
"500019606001006",29,"41"
"500019606001007",16,"30"
"500019606001008",11,"13"
"500019606001009",9,"9"
"500019606001010",6,"9"
"500019606001011",2,"4"
"500019606001012",32,"48"
"500019606001013",5,"9"
"500019606001014",7,"7"
"500019606001015",5,"9"
"500019606001016",NULL,"0"
"500019606001017",NULL,"2"
"500019606001018",8,"11"
"500019606001019",15,"23"
"500019606001020",15,"17"
"500019606001021",1,"1"
"500019606001022",8,"15"
"500019606001023",21,"35"
"500019606001024",2,"2"
"500019606001025",NULL,"0"
"500019606001026",1,"2"
"500019606001027",NULL,"0"
"500019606001028",NULL,"0"
"500019606001029",3,"6"
"500019606001030",9,"10"
"500019606001031",23,"38"
"500019606001032",6,"4"
"500019606001033",1,"2"
"500019606001034",10,"13"
"500019606001035",26,"44"
"500019606001036",NULL,"0"
"500019606001037",NULL,"0"
"500019606001038",3,"7"
"500019606001039",11,"20"
"500019606001040",NULL,"0"
"500019606001041",NULL,"0"
"500019606001042",1,"3"
"500019606001043",NULL,"0"
"500019606001044",19,"33"
"500019606001045",1,"1"
"500019606001046",NULL,"0"
"500019606001047",9,"12"
"500019606001048",2,"6"
"500019606001049",NULL,"0"
"500019606001050",11,"19"
"500019606001051",10,"19"
"500019606001052",NULL,"0"
"500019606001053",NULL,"0"
"500019606001054",3,"3"
"500019606001055",17,"26"
"500019606001056",7,"14"
"500019606001057",30,"25"
"500019606001058",4,"5"
"500019606001059",2,"5"
"500019606001060",4,"4"
"500019606001061",5,"5"
"500019606001062",NULL,"0"
"500019606001063",NULL,"0"
"500019606001064",2,"4"
"500019606001065",NULL,"1"
"500019606001066",4,"5"
"500019606001067",7,"8"
"500019606001068",34,"41"
"500019606001069",NULL,"0"
"500019606001070",5,"5"
"500019606001071",7,"10"
"500019606001072",7,"11"
"500019606001073",6,"8"
"500019606001074",5,"13"
"500019606001075",5,"8"
"500019606001076",NULL,"0"
"500019606001077",3,"3"
"500019606001078",NULL,"0"
"500019606001079",7,"2"
"500019606001080",14,"24"
"500019606001081",7,"10"
"500019606001082",NULL,"0"
"500019606002000",20,"25"
"500019606002001",1,"1"
"500019606002002",43,"58"
"500019606002003",NULL,"0"
"500019606002004",NULL,"0"
"500019606002005",NULL,"0"
"500019606002006",6,"6"
"500019606002007",18,"28"
"500019606002008",33,"39"
"500019606002009",NULL,"0"
"500019606002010",1,"1"
"500019606002011",7,"6"
