"state_abbr","brand_name","technology","count"
"GA","ATC Broadband LLC",40,"8451"
"GA","ATC Broadband LLC",50,"1072"
"ID","ATC Communications",10,"1389"
"ID","ATC Communications",50,"4913"
"ID","ATC Communications",70,"1168"
"UT","ATC Communications",10,"20"
"UT","ATC Communications",50,"165"
"UT","ATC Communications",70,"19"
"NE","ATCJET.NET, LLC",70,"11007"
"NE","ATCJET.NET, LLC",71,"31724"
"NE","ATCJET.NET, LLC",72,"1781"
"CA","Atherton Fiber",50,"4575"
"IA","Atkins Telephone Company",50,"1580"
"DC","Atlantech Online, Inc.",10,"3"
"DC","Atlantech Online, Inc.",50,"37"
"MD","Atlantech Online, Inc.",10,"2"
"MD","Atlantech Online, Inc.",50,"69"
"PA","Atlantech Online, Inc.",50,"1"
"VA","Atlantech Online, Inc.",10,"1"
"VA","Atlantech Online, Inc.",50,"28"
"OK","Atlas Broadband",50,"151"
"OK","Atlas Broadband",70,"64510"
"OK","Atlink Services",50,"74"
"OK","Atlink Services",70,"8762"
"OK","Atlink Services",71,"92966"
"OK","Atlink Services",72,"154092"
"OK","Atom Broadband",40,"2377"
"OK","Atom Broadband",50,"8"
"AL","AT&T Inc",10,"605907"
"AL","AT&T Inc",50,"476847"
"AL","AT&T Inc",71,"42042"
"AR","AT&T Inc",10,"338138"
"AR","AT&T Inc",50,"176915"
"AR","AT&T Inc",71,"39820"
"AZ","AT&T Inc",50,"836"
"CA","AT&T Inc",10,"3750872"
"CA","AT&T Inc",50,"1875677"
"CA","AT&T Inc",71,"94618"
"FL","AT&T Inc",10,"1990462"
"FL","AT&T Inc",50,"1567474"
"FL","AT&T Inc",71,"18236"
"GA","AT&T Inc",10,"1257633"
"GA","AT&T Inc",50,"1220907"
"GA","AT&T Inc",71,"56975"
"IL","AT&T Inc",10,"1758506"
"IL","AT&T Inc",50,"505491"
"IL","AT&T Inc",71,"19362"
"IN","AT&T Inc",10,"728527"
"IN","AT&T Inc",50,"427146"
"IN","AT&T Inc",71,"42299"
"KS","AT&T Inc",10,"414066"
"KS","AT&T Inc",50,"255377"
"KS","AT&T Inc",71,"38025"
"KY","AT&T Inc",10,"322240"
"KY","AT&T Inc",50,"289466"
"KY","AT&T Inc",71,"63992"
"LA","AT&T Inc",10,"632650"
"LA","AT&T Inc",50,"444787"
"LA","AT&T Inc",71,"49424"
"MI","AT&T Inc",10,"1575822"
"MI","AT&T Inc",50,"528180"
"MI","AT&T Inc",71,"72014"
"MO","AT&T Inc",50,"443800"
"MO","AT&T Inc",71,"976"
"MS","AT&T Inc",10,"446064"
"MS","AT&T Inc",50,"209601"
"MS","AT&T Inc",71,"75923"
"NC","AT&T Inc",10,"726537"
"NC","AT&T Inc",50,"840231"
"NC","AT&T Inc",71,"12763"
"NV","AT&T Inc",10,"97873"
"NV","AT&T Inc",50,"58000"
"NV","AT&T Inc",71,"438"
"OH","AT&T Inc",10,"1249641"
"OH","AT&T Inc",50,"545254"
"OH","AT&T Inc",71,"32603"
"OK","AT&T Inc",10,"442120"
"OK","AT&T Inc",50,"316649"
"OK","AT&T Inc",71,"2005"
"SC","AT&T Inc",10,"579419"
"SC","AT&T Inc",50,"335115"
"SC","AT&T Inc",71,"22433"
"TN","AT&T Inc",10,"973555"
"TN","AT&T Inc",50,"676470"
"TN","AT&T Inc",71,"64332"
"TX","AT&T Inc",10,"2334673"
"TX","AT&T Inc",50,"3056495"
"TX","AT&T Inc",71,"67381"
"WI","AT&T Inc",10,"658559"
"WI","AT&T Inc",50,"254769"
"WI","AT&T Inc",71,"24152"
"KS","Atwood Cable Systems Inc.",40,"798"
"KS","Atwood Cable Systems Inc.",50,"43"
"IN","Auburn Essential Services",50,"9078"
"CA","AUDEAMUS",50,"1563"
"CT","Aureon Communications, L.L.C.",50,"1"
"FL","Aureon Communications, L.L.C.",50,"1"
"IA","Aureon Communications, L.L.C.",10,"55"
"IA","Aureon Communications, L.L.C.",40,"22"
"IA","Aureon Communications, L.L.C.",50,"294"
"IL","Aureon Communications, L.L.C.",50,"6"
"KS","Aureon Communications, L.L.C.",50,"1"
"MN","Aureon Communications, L.L.C.",40,"1"
"MN","Aureon Communications, L.L.C.",50,"1"
"MO","Aureon Communications, L.L.C.",50,"1"
"NE","Aureon Communications, L.L.C.",10,"2"
"NE","Aureon Communications, L.L.C.",40,"1"
"NE","Aureon Communications, L.L.C.",50,"3"
"TN","Aureon Communications, L.L.C.",40,"1"
"TN","Aureon Communications, L.L.C.",50,"1"
"WA","Aureon Communications, L.L.C.",50,"1"
"WI","Aureon Communications, L.L.C.",40,"1"
"WI","Aureon Communications, L.L.C.",50,"1"
"TX","Autophone of Laredo",70,"38280"
"UT","Avative Internet| Avative Fiber| Avative 5G",50,"3093"
"UT","Avative Internet| Avative Fiber| Avative 5G",70,"2520"
"CA","AVISP",70,"366"
"TX","AW Broadband",10,"55"
"TX","AW Broadband",40,"4999"
"TX","AW Broadband",50,"6093"
"TX","AW Broadband",70,"90289"
"TX","AW Broadband",72,"15050"
